PP	verb	is.colloc	is.SVC	is.figur	freq	MI	Dice	z.score	t.score	chisq	chisq.corr	log.like	Fisher
in:Jahr	abbauen	FALSE	FALSE	FALSE	50	0.76031	0.004337	14.022	5.8431	198	193	93.34	21.43
in:Richtung	abbiegen	FALSE	FALSE	FALSE	44	1.70623	0.014269	46.368	6.5028	2153	2103	262.11	58.12
um:Uhr	abfahren	FALSE	FALSE	FALSE	102	1.35588	0.007536	45.99	9.6544	2126	2105	453.64	99.87
an+:Freitag	abgeben	FALSE	FALSE	FALSE	33	0.27853	0.003132	3.748	2.7195	14	13	11.14	3.28
an+:Samstag	abgeben	FALSE	FALSE	FALSE	37	0.31947	0.003461	4.576	3.1678	21	20	15.99	4.39
in+:Rathaus	abgeben	FALSE	FALSE	FALSE	33	0.80582	0.006398	12.255	4.8462	150	145	67.09	15.65
in:Hausmüll	abgeben	FALSE	FALSE	FALSE	36	2.48391	0.012251	104.395	5.9803	10911	10609	354.39	78.04
von:Mark	abgeben	FALSE	FALSE	FALSE	38	0.35133	0.003677	5.124	3.4193	26	25	19.43	5.17
von:Uhr	abgeben	FALSE	FALSE	FALSE	112	1.00664	0.014467	30.402	9.5408	927	918	320.1	70.88
vor:Ort	abgeben	FALSE	FALSE	FALSE	58	1.28961	0.013819	31.888	7.2248	1019	1000	236.1	52.52
wie:Flüssigkeit	abgeben	FALSE	FALSE	FALSE	33	2.61806	0.011296	116.745	5.7307	13645	13234	350.96	77.23
zwischen:Uhr	abgeben	FALSE	FALSE	FALSE	31	1.06089	0.007612	17.244	5.0838	298	287	95.32	21.8
an+:Montag	abholen	FALSE	FALSE	FALSE	30	0.68769	0.003543	9.608	4.3529	93	89	47.63	11.38
um:Uhr	abholen	FALSE	FALSE	FALSE	38	0.54309	0.002685	8.221	4.3992	68	65	41.18	9.99
gegen:Baum	abkommen	FALSE	FALSE	FALSE	30	2.67028	0.038635	118.243	5.4655	13986	13522	313.47	69.18
gegen:Uhr	abkommen	FALSE	FALSE	FALSE	30	1.41598	0.010357	26.888	5.267	724	699	138.76	31.25
von:Fahrbahn	abkommen	FALSE	FALSE	FALSE	159	3.08664	0.175594	440.211	12.5992	193855	192636	2018.46	439.69
von:Straße	abkommen	FALSE	FALSE	FALSE	73	2.4813	0.065091	148.209	8.5158	21976	21675	698.57	152.99
an+:Dienstag	ablehnen	FALSE	FALSE	FALSE	33	0.18475	0.002995	2.462	1.9905	6	6	5.23	1.89
an+:Donnerstag	ablehnen	FALSE	FALSE	FALSE	38	0.24044	0.003419	3.457	2.6208	12	11	9.82	2.98
an+:Freitag	ablehnen	FALSE	FALSE	FALSE	41	0.25458	0.003584	3.808	2.8402	15	14	11.76	3.43
an+:Mittwoch	ablehnen	FALSE	FALSE	FALSE	44	0.30515	0.003965	4.757	3.3479	23	22	17.52	4.74
an+:Montag	ablehnen	FALSE	FALSE	FALSE	49	0.34564	0.004374	5.719	3.8416	33	32	24.36	6.28
aus:Gründen	ablehnen	FALSE	FALSE	FALSE	52	0.96403	0.009149	19.502	6.4277	381	373	139.01	31.39
mit:Begründung	ablehnen	FALSE	FALSE	FALSE	77	1.92547	0.018799	79.578	8.6708	6343	6260	541.24	118.84
mit:Hinweis	ablehnen	FALSE	FALSE	FALSE	45	1.40483	0.010266	32.477	6.4441	1057	1032	206.51	46.04
mit:Mehrheit	ablehnen	FALSE	FALSE	FALSE	75	1.61407	0.017042	54.184	8.4497	2941	2901	416.31	91.71
mit:Stimme	ablehnen	FALSE	FALSE	FALSE	77	1.46007	0.016437	45.494	8.4708	2074	2046	372.95	82.3
von:CDU	ablehnen	FALSE	FALSE	FALSE	39	1.27199	0.008689	25.566	5.9112	655	637	155.79	34.99
von:Mehrheit	ablehnen	FALSE	FALSE	FALSE	30	1.90044	0.007661	48.226	5.4083	2329	2251	207.04	46.06
von:SPD	ablehnen	FALSE	FALSE	FALSE	70	1.4117	0.014897	40.854	8.0424	1672	1647	323.63	71.57
um:Prozent	abnehmen	FALSE	FALSE	FALSE	52	1.50527	0.015156	39.523	6.9858	1564	1533	261.85	58.09
unter:Rufnummer	abrufen	FALSE	FALSE	FALSE	32	2.83001	0.047372	146.871	5.6485	21577	20907	359.15	79.1
um:Prozent	absacken	FALSE	FALSE	FALSE	35	1.93428	0.012289	54.212	5.8473	2942	2858	245.98	54.56
bis:Ende	abschließen	FALSE	FALSE	FALSE	34	1.37261	0.011247	27.116	5.5837	736	714	150.68	33.86
in:Jahr	abschließen	FALSE	FALSE	FALSE	65	0.55733	0.005134	11.071	5.828	123	121	73.47	17.12
von:Mark	abschließen	FALSE	FALSE	FALSE	42	0.51582	0.00436	8.158	4.5046	67	65	41.63	10.1
von:Außenwelt	abschneiden	FALSE	FALSE	FALSE	42	3.39093	0.081871	321.302	6.4781	103256	100811	596.52	130.6
von:Ausnahme	absehen	FALSE	FALSE	FALSE	39	2.90636	0.029635	177.082	6.2373	31374	30574	462.99	101.62
gegen:Uhr	alarmieren	FALSE	FALSE	FALSE	55	1.92906	0.021061	67.541	7.3289	4566	4483	384.69	84.78
ab:Uhr	anbieten	FALSE	FALSE	FALSE	66	0.59475	0.007131	12.016	6.0586	145	142	82.86	19.18
an+:Dienstag	anbieten	FALSE	FALSE	FALSE	50	0.25019	0.004109	4.13	3.0965	17	16	13.9	3.93
an+:Donnerstag	anbieten	FALSE	FALSE	FALSE	49	0.23584	0.003996	3.848	2.9332	15	14	12.23	3.55
an+:Freitag	anbieten	FALSE	FALSE	FALSE	38	0.10657	0.003019	1.516	1.3414	2	2	2.12	1.09
an+:Mittwoch	anbieten	FALSE	FALSE	FALSE	55	0.28705	0.004492	4.991	3.5868	25	24	19.62	5.23
an+:Montag	anbieten	FALSE	FALSE	FALSE	38	0.12021	0.003077	1.712	1.4905	3	3	2.67	1.24
an+:Samstag	anbieten	FALSE	FALSE	FALSE	74	0.38728	0.005807	7.928	5.0759	63	62	44.97	10.88
an+:Sonntag	anbieten	FALSE	FALSE	FALSE	44	0.19429	0.003614	2.992	2.3925	9	8	7.67	2.48
an+:Wochenende	anbieten	FALSE	FALSE	FALSE	35	0.44485	0.004283	6.328	3.792	40	38	26.96	6.84
für:Erwachsene	anbieten	FALSE	FALSE	FALSE	35	1.52633	0.006722	33.272	5.74	1109	1077	180.42	40.32
für:Frau	anbieten	FALSE	FALSE	FALSE	105	1.33052	0.016934	45.194	9.7682	2047	2027	448.23	98.71
für:Jugendliche	anbieten	FALSE	FALSE	FALSE	30	1.17318	0.005498	19.723	5.1096	390	376	106.95	24.33
für:Kind	anbieten	FALSE	FALSE	FALSE	101	0.95037	0.012864	26.651	8.9232	712	705	264.89	58.87
in+:Jahr	anbieten	FALSE	FALSE	FALSE	45	0.13534	0.003354	2.099	1.7961	4	4	3.97	1.58
in+:Monat	anbieten	FALSE	FALSE	FALSE	39	0.95751	0.006452	16.732	5.5563	281	273	103.24	23.56
in+:Rahmen	anbieten	FALSE	FALSE	FALSE	31	0.50122	0.004159	6.788	3.812	46	44	29.24	7.34
in:Frankfurt	anbieten	FALSE	FALSE	FALSE	37	0.18466	0.003315	2.606	2.1068	7	6	5.86	2.04
in:Jahr	anbieten	FALSE	FALSE	FALSE	33	-0.09131	0.002141	-1.21	-1.3441	-1	-1	-1.58	0.04
in:Zusammenarbeit	anbieten	FALSE	FALSE	FALSE	38	1.18366	0.006811	22.506	5.7606	508	493	137.24	30.96
