CONCEPT	CLASS6	CLASS3	CLASS2	FEATURE	TYPE
banana	fruit	vegetable	natural	a_fruit	category
banana	fruit	vegetable	natural	a_fruit	category
banana	fruit	vegetable	natural	a_fruit	category
banana	fruit	vegetable	natural	a_fruit	category
banana	fruit	vegetable	natural	a_fruit	category
banana	fruit	vegetable	natural	a_fruit	category
banana	fruit	vegetable	natural	a_fruit	category
banana	fruit	vegetable	natural	a_fruit	category
banana	fruit	vegetable	natural	a_fruit	category
banana	fruit	vegetable	natural	a_fruit	category
banana	fruit	vegetable	natural	a_fruit	category
banana	fruit	vegetable	natural	a_fruit	category
banana	fruit	vegetable	natural	a_fruit	category
banana	fruit	vegetable	natural	a_fruit	category
banana	fruit	vegetable	natural	a_fruit	category
banana	fruit	vegetable	natural	a_fruit	category
banana	fruit	vegetable	natural	a_fruit	category
banana	fruit	vegetable	natural	a_fruit	category
banana	fruit	vegetable	natural	a_fruit	category
banana	fruit	vegetable	natural	a_fruit	category
banana	fruit	vegetable	natural	a_fruit	category
banana	fruit	vegetable	natural	a_fruit	category
banana	fruit	vegetable	natural	a_fruit	category
banana	fruit	vegetable	natural	a_fruit	category
banana	fruit	vegetable	natural	a_fruit	category
banana	fruit	vegetable	natural	eaten_by_monkeys	related
banana	fruit	vegetable	natural	eaten_by_monkeys	related
banana	fruit	vegetable	natural	eaten_by_monkeys	related
banana	fruit	vegetable	natural	eaten_by_monkeys	related
banana	fruit	vegetable	natural	eaten_by_monkeys	related
banana	fruit	vegetable	natural	eaten_by_monkeys	related
banana	fruit	vegetable	natural	eaten_by_monkeys	related
banana	fruit	vegetable	natural	eaten_by_monkeys	related
banana	fruit	vegetable	natural	eaten_by_monkeys	related
banana	fruit	vegetable	natural	eaten_by_peeling	function
banana	fruit	vegetable	natural	eaten_by_peeling	function
banana	fruit	vegetable	natural	eaten_by_peeling	function
banana	fruit	vegetable	natural	eaten_by_peeling	function
banana	fruit	vegetable	natural	eaten_by_peeling	function
banana	fruit	vegetable	natural	eaten_by_peeling	function
banana	fruit	vegetable	natural	eaten_by_peeling	function
banana	fruit	vegetable	natural	eaten_by_peeling	function
banana	fruit	vegetable	natural	eaten_by_peeling	function
banana	fruit	vegetable	natural	eaten_by_peeling	function
