corpus	id	cat	svd1	svd2	svd3	svd4	svd5
brown	A01	A	-0.811190634111203	4.15085998010064	-2.74165160968327	0.08611372222483	-5.98200340758001
brown	A02	A	-2.56369963256869	5.12645058617181	-3.29949168072897	2.14804465072267	-4.30794383192925
brown	A03	A	-1.09373140267518	4.05313099628089	-0.303651487942950	1.90291746085003	-4.80487126668713
brown	A04	A	-3.95736080450157	2.60417420877032	-1.60529098807406	-3.48304971630826	-3.02108278930723
brown	A05	A	-0.784787363005911	0.764171641859362	-2.31103866334821	-0.567918846180278	-5.26481847857687
brown	A06	A	-0.124214899472593	3.12322694153763	-4.64707601099918	0.366187692265004	-3.57768602823017
brown	A07	A	-4.37017942536837	2.98945815646258	-3.84695605626954	-1.55346698177252	-3.54640478015345
brown	A08	A	-4.53105829131771	0.365144492236599	-2.37464075381867	-1.90206423153186	-6.33957859878598
brown	A09	A	-2.57624584213869	7.57795740275226	0.366680850936454	-0.110844007258521	-3.97174221803129
brown	A10	A	-0.697438100287306	3.24914371193542	-3.87126517641103	0.216883258589475	-5.23101151595151
brown	A11	A	-0.591733589898368	7.52134135385823	-2.66796206204204	0.298988065358054	-1.83542140003571
brown	A12	A	1.37420467271994	4.72659323273803	-4.49005230374864	4.98127767678656	-0.511237665675109
brown	A13	A	-0.389607039705193	7.48622795393951	-2.12037313342768	2.7407641764231	-1.34524240902146
brown	A14	A	1.11303018688928	5.91510601058474	-3.56551550500666	-0.234309453151617	-3.10055218457142
brown	A15	A	0.895493404626892	4.79460008323774	-4.44133388628837	-0.533325660405109	-2.7383893656026
brown	A16	A	-0.774719156953379	2.98564006924009	-7.22082423405985	0.332774210718245	-1.65074359288951
brown	A17	A	-3.69216112319479	5.43691761736842	-5.44072042411065	2.99516362098923	-1.36819875749369
brown	A18	A	-2.13313265116160	3.64013243931447	-6.66189758952623	-0.98724158967404	-1.3777654648332
brown	A19	A	-1.96436039211971	6.57686541225037	-0.66118526755088	-0.0803355396905201	-2.94561164558432
brown	A20	A	-0.0783231438528257	7.8222297581533	0.522449606629164	-0.239717921464870	-1.43434428788499
brown	A21	A	-0.241704865145307	8.26845153731085	-1.12929943006044	-1.75438038280257	-2.32734294958326
brown	A22	A	-0.871766890941282	5.89110932299304	-1.52739194253676	-0.767600524653295	-2.00988840234178
brown	A23	A	-1.29367757107947	8.29284753999999	-2.64193141665916	0.582383798982989	-1.42282312621761
brown	A24	A	-2.01924845011774	9.05783140680438	0.637102432091571	-0.731505250556916	-4.08989104891308
brown	A25	A	-0.0112621505459189	7.80036105772427	-2.21021708365912	1.27189269171592	-1.64297104557899
brown	A26	A	-4.14404529049859	4.43714201367104	-2.03858486883502	-0.158087790662262	-1.89361873040237
brown	A27	A	-2.19055089016919	3.93475586246169	-2.59167318154748	2.69959372668723	-3.78231960751387
brown	A28	A	-5.90907699793859	3.20793643620561	0.523513123549417	3.16632292255363	-2.23740477074404
brown	A29	A	-3.98384389259556	2.62591682344971	-5.33903396023913	2.82591499779853	1.44114767633799
brown	A30	A	-0.347964237354506	1.8654185262851	-3.88142729402245	-0.947595973443841	-1.41572845263595
brown	A31	A	-4.24718662907158	3.87560962972362	-5.31098299853307	5.28233881381956	-1.08714557785706
brown	A32	A	-2.40425383628136	1.04158607932879	-5.18642825836377	2.09351424113021	-1.12004758085452
brown	A33	A	-0.115062772122117	5.37741543981048	-2.93550498617466	-0.693702634680236	-2.8125752325104
brown	A34	A	-1.46472043653457	3.79888053746194	-0.420126227227499	-2.68678046526501	-3.52558530760082
brown	A35	A	-5.90995623272415	-4.38142767840104	-0.43503645974166	0.579813164354092	2.35025902893151
brown	A36	A	-5.66678143504164	0.00496769730473698	0.373214200081550	-0.335200439588408	-2.19458688642563
brown	A37	A	-0.223567384956487	6.63223970260956	-2.33008992229098	1.30938962608605	-0.362123839196342
brown	A38	A	1.5600792616419	5.35995153959826	2.07886719238388	-2.15159551920569	0.904629210221095
brown	A39	A	-2.00011647262212	2.88910969313759	-7.22672657274936	5.76148665384975	1.24910854375095
brown	A40	A	1.71145777441949	6.49458600596054	-4.01135325225931	2.65883182781585	1.29742921191095
brown	A41	A	-0.613068208891937	5.14284786422667	1.16775788168931	-1.46842683569174	0.379315847805446
brown	A42	A	0.808790387724501	7.5077084166824	-1.4638851744518	0.776816612454476	-0.0946301984862389
brown	A43	A	-4.64194051531969	0.0096425532033177	-2.24500370768608	0.330779394732135	-3.1444739724332
brown	A44	A	-6.05627955795629	-3.00187471385214	-0.419916932344186	-1.83687215486644	1.24997805429801
brown	B01	B	-4.85970518181044	0.694196368356765	-1.25540196939712	-2.33786729091076	-2.21585796307711
brown	B02	B	-3.71722075909704	-0.31242372697832	-3.03708411380729	-3.47882569526490	-3.96910890842434
brown	B03	B	0.806299554654158	0.996517473010483	-0.0409740380451477	-3.84451156026076	-1.26491900191866
brown	B04	B	-4.09175055316495	-0.266461644587028	-3.36957127376460	-2.98300042573961	-2.75241505660626
brown	B05	B	-4.37128008855837	1.03597378527521	-2.95225148130837	-1.56242590211755	-2.90332719959635
brown	B06	B	-3.2300228238276	1.27232636312498	-3.78090346477310	-3.81970751435273	-4.33350513411435
brown	B07	B	-5.1362462773203	-0.442565401026209	-3.16837873881733	-3.24287778504954	-2.75657650115069
brown	B08	B	5.93575169256635	-5.31809974162035	-2.95799390866677	0.354154187211659	0.73944055617119
brown	B09	B	2.19552415636418	-1.89766275605976	1.66593150738482	-0.180849053261848	-0.733135227583073
brown	B10	B	1.01204014442962	-7.76407892342596	-1.25464537226644	-0.158350693609014	-1.59481738335071
brown	B11	B	-2.73172710446495	2.62532397390328	-4.72074162911551	0.209335643833202	-1.03945573764604
brown	B12	B	-2.2225600168926	3.27426825000566	-4.17261145365299	-0.457536371230352	-1.04228323497547
brown	B13	B	-3.41879742982414	-4.66485092356847	-2.68315370802558	-1.31211170773107	-1.36985861356451
brown	B14	B	-0.685785003423999	-2.80128741468716	-3.82921448370763	-1.60539620353424	-1.59898682174330
brown	B15	B	-3.09364247944503	-4.00068386170295	-2.85177657750276	-1.09099818374192	-2.53347807336220
brown	B16	B	-3.02385813294810	-1.26255462325396	-3.45417805003761	-1.54462167196423	-3.59195380492956
brown	B17	B	-3.01551907760940	-2.11816062827631	-1.36451917224581	-0.309988039739355	-5.45747765695276
brown	B18	B	-3.52388209299906	-1.27892078213960	-3.28307059217794	-1.99042872370872	-5.44089764996451
brown	B19	B	-1.55183159332505	-3.76259561394035	-3.79818182172076	-0.350191149713620	-3.24288696707133
brown	B20	B	-3.24045574408707	-0.86900796906666	-4.34025871541238	-1.47571522991976	-1.78069844193586
brown	B21	B	-5.11943863371355	-1.66239733025343	-0.0505158411303909	-1.79095335772586	-0.967394779204735
brown	B22	B	-3.10920426098981	-2.1100991419088	-1.79116627333929	-3.20122073832861	-1.67370810540571
brown	B23	B	-1.66796808508597	-3.22200122262650	-4.02720820641762	-1.12800890736432	1.69022397181123
brown	B24	B	-3.56011972627519	1.33760111775301	-3.50851463222828	-0.148271762303719	4.55870928725339
brown	B25	B	-2.35588826277731	1.95258652113884	-2.70097151220895	1.32974246192313	1.60861835680576
brown	B26	B	-2.65846807022302	0.253003943954917	-4.82475650410846	1.52110636824083	-1.89616393279328
brown	B27	B	-0.619456715451907	-0.812724013544804	-3.27512838891061	-0.114596463110932	-1.86671774945110
