corpus	id	cat	svd1	svd2	svd3	svd4	svd5	svd6	svd7	svd8
brown	A01	A	-0.822163059744343	0.320831227181604	0.0201710340991857	0.0222576041826468	0.0278949352451327	0.0223703260619977	0.00545482829603108	0.132889987332365
brown	A02	A	-0.81907370417929	0.339135694771934	0.0180732710370668	0.0178112788771309	0.0259611444175334	0.0142692368628343	0.0136619471038436	0.140891577888577
brown	A03	A	-0.820962728423882	0.34317718915689	0.00249248574825031	0.0348286861429859	0.0329380463814858	0.0252707253601618	0.00300830093411949	0.14250852470249
brown	A04	A	-0.815943541606916	0.332633790537832	-0.00632500641273301	0.0392843581972295	0.0384232481967354	0.0299812633821544	0.0272789621335492	0.145352035569826
brown	A05	A	-0.811994277630754	0.350263342405747	0.00210646400999341	0.0233251303458672	0.0367655916174038	0.0179197994846538	0.0189604476554233	0.152996146932427
brown	A06	A	-0.811964728051562	0.341915243279013	0.0202523802242654	0.0154718824328132	0.0446671292595406	0.0163371269924076	0.0210247139202093	0.151420969328344
brown	A07	A	-0.817882752456062	0.341192236683645	0.0188370501892732	0.0280253297069407	0.0358713770829959	0.0181769316899435	0.0252721842924794	0.141863484540875
brown	A08	A	-0.814058788329093	0.351827784225533	0.000622524095842069	0.00806839042900518	0.042391891994699	0.0182417692022109	0.0248669373413146	0.150577468053253
brown	A09	A	-0.817388727290382	0.347484643570338	0.00501596217848264	-0.000870831709186599	0.039844854655467	0.0151386076392325	0.0102130038104385	0.148665547261501
brown	A10	A	-0.814538089450605	0.351611531932892	0.0148688554725992	0.0239135095602072	0.0546197087553325	0.00841317247677362	0.0256342674086420	0.148273857882954
brown	A11	A	-0.825658916386765	0.2975868948592	0.0225353110428821	-0.0498054677644632	0.072773228033538	-0.00905890832624596	0.00446163684446354	0.128176822782897
brown	A12	A	-0.81813326572399	0.341155138362670	0.0086566397083587	-0.0332101486958825	0.0852437378528967	-0.00375827941737234	0.00279162068683521	0.148599561159281
brown	A13	A	-0.814663510420935	0.321909461406041	0.0162282588894375	-0.0351256629784646	0.093578677115799	-0.0154764843115123	0.012410279536243	0.144621041911591
brown	A14	A	-0.821253723395228	0.324002098168062	0.0379244368309357	-0.0159386128473448	0.0658151658593554	-0.0137145848186256	0.0135051366196783	0.137467875221178
brown	A15	A	-0.815858222125223	0.340722035694992	0.0173682328929040	-0.0132333372790169	0.0971898688629466	-0.0102927371134836	0.0148467569544774	0.151397811209426
brown	A16	A	-0.822378623508585	0.305924679428643	0.0481809156967462	-0.0163588278438259	0.0762618432698794	-0.0165258091375626	0.0253014862507379	0.132844783127225
brown	A17	A	-0.816211999198468	0.306300645723993	0.0469987787050602	-0.0264839589770180	0.0669048117841183	-0.0168891624490536	0.0269077204259344	0.13883043729558
brown	A18	A	-0.811114924722183	0.318304356337986	0.0507412178582496	-0.0148807361557960	0.065917089788146	-0.0219519766645633	0.0329845847175359	0.146620492987444
brown	A19	A	-0.813176299629292	0.339938861192708	-0.00421911227162864	-0.0170967090795987	0.0540984826334451	0.0129279950310415	0.0173803793866107	0.148375749858512
brown	A20	A	-0.813604875552182	0.330859488671639	0.00361805451341574	-0.00174762117519955	0.0668947871946655	0.0157745687600036	0.0158810062699829	0.146934249931300
brown	A21	A	-0.814612202743443	0.308504449378868	0.0275253989201938	-0.00397339576396811	0.0665488990243099	0.0204887387215357	0.0210315351473874	0.144789541750177
brown	A22	A	-0.818115438675513	0.320899315879739	0.0162907065256929	0.00681895166904405	0.046169467537486	0.00912597480567026	0.022228703195433	0.136672097120892
brown	A23	A	-0.818181005529186	0.319158767425809	0.0373726164208108	-0.00864042663049406	0.0399458017923783	-0.00646143112295798	0.0163634317217991	0.137833244819730
brown	A24	A	-0.814428086251071	0.322929247276878	0.0133989576295211	-0.0140260471589690	0.0525491632893967	0.0142086048825522	0.0181416957250239	0.145580629937440
brown	A25	A	-0.821384500239247	0.294916518925704	0.00692189543915919	-0.00520025391261389	0.0441718372078358	0.0138056487009706	0.00682527427755814	0.132682500038386
brown	A26	A	-0.813335103823317	0.345910678197534	-0.0172914080866559	-0.015480729683474	0.0404050093015457	-0.00798458303242544	0.0149667638478658	0.157031890489717
brown	A27	A	-0.818368363219549	0.34485569408486	-0.0170638630702717	0.0167940899604124	0.0405022337965871	0.009565266584181	0.0157897493239621	0.146491102682219
brown	A28	A	-0.81477162051462	0.34584214573035	-0.0323045123657831	0.00800768460692892	0.0275435781599735	0.015007853200189	0.00588028728740001	0.153034003589880
brown	A29	A	-0.815472348887017	0.286719494966175	-0.0122639924381217	-0.0211289782016218	0.0749237379691438	-0.0324125390503559	0.0371344901332345	0.131349215149672
brown	A30	A	-0.810833752414609	0.339289468603010	-1.63933954054649e-05	-0.0202235003517302	0.0841360023142696	-0.0156770067761900	0.0360960176324337	0.151624311285917
brown	A31	A	-0.819366185662156	0.321599697404512	0.0372862283518422	-0.0028778361274445	0.0602381961944284	-0.0228084221204508	0.0304940116392604	0.136495912463251
brown	A32	A	-0.811945080651986	0.332121393445416	0.00145687183904409	-0.00501068743278677	0.0815146587922555	-0.0228740458148949	0.0364071015095511	0.148711239918341
brown	A33	A	-0.815945588158643	0.330618674904912	0.0269787714915512	-0.000835600322228412	0.0664110761186326	-0.0150633488502457	0.040077383884354	0.145432794734895
brown	A34	A	-0.81968100732711	0.325115470325403	-0.00032180224425058	0.033532539935268	0.0530823033343021	0.0235827399228285	0.0277230656005253	0.142217070297693
brown	A35	A	-0.807614445887957	0.369446824307879	-0.0335779545468074	0.0527155865992135	0.0520036367898981	-0.000579651625168893	0.0431976017721979	0.156569477292013
brown	A36	A	-0.814266025584942	0.342570122191425	-0.0296622676964023	0.0440130709492089	0.0387093555848437	0.0224632977784692	0.0146185426543944	0.147497314998000
brown	A37	A	-0.824233911485054	0.296754273853090	0.0217270254255735	0.0122312217416704	0.044531714392935	0.0288467430759899	0.0176066563726283	0.128534102667876
brown	A38	A	-0.816356205083055	0.317577546252815	-0.000778923249792664	-0.0387005520526937	0.0933300771212057	-0.0132703920277278	0.0151494064103649	0.143558107948706
brown	A39	A	-0.816486170425877	0.278857712497714	0.0138949230916766	-0.0206623571650205	0.088412316321499	-0.0135204243671001	0.0176393837006433	0.142333485023383
brown	A40	A	-0.818374659967706	0.325703076694023	0.0232633590668515	-0.00155822103229065	0.0737899057578679	-0.0106861229253468	0.0267730744215032	0.144198235438011
brown	A41	A	-0.811422475240806	0.333114489822101	-0.00738795356733668	0.0163771334267377	0.0480980652943511	0.0335151872646373	0.0444583493347812	0.154800492814017
brown	A42	A	-0.821531484495223	0.323590157177912	0.0145360265656060	-0.0140546180063565	0.0662775592986505	0.0188820684673555	0.0116564825999943	0.141442840014312
brown	A43	A	-0.807616548066157	0.355713992417385	-0.0338303839634838	-0.00603494666490432	0.039270657590665	0.0102085491156299	0.0200447279216666	0.162872180212391
brown	A44	A	-0.809063740583987	0.386622412222939	-0.0344700511347656	0.0267973207017768	0.036033849976789	-0.0055792607431796	0.0388471115360144	0.164493293056319
brown	B01	B	-0.813710348190863	0.348328631913043	-0.0181161130232066	0.0275932437551413	0.043439030862018	0.0225392381910397	0.0288260295559548	0.152547249387071
brown	B02	B	-0.815530967315011	0.348148162157141	-0.00564012890141352	0.0117171944253667	0.04698046010687	0.0227270705169528	0.0372208177199048	0.148811874021945
brown	B03	B	-0.809561354101617	0.337614416064722	-0.0164725305309341	0.0174908369067389	0.0703196701668483	0.0172561045211106	0.0310939321319502	0.156112706528667
brown	B04	B	-0.81470450747286	0.341088821103432	-0.0127450471230483	0.0258630481550226	0.0489305571802992	0.0215466939799327	0.0318176762455596	0.148464092195175
brown	B05	B	-0.813189841915176	0.335064582509418	-0.0137895394193462	0.0150539250632140	0.0531967780450458	0.0195178057511152	0.0293453524144085	0.150128572124890
brown	B06	B	-0.814920503704029	0.342620950942900	0.000315156902825501	0.014904196046414	0.0420995309144411	0.0235004997169377	0.0289640761524813	0.149877009954889
brown	B07	B	-0.81686150857182	0.337818649767197	-0.0124535676161856	0.0344484049074546	0.0400778631765724	0.0158606275062465	0.0256846608681746	0.146599963087666
brown	B08	B	-0.809658431948363	0.312150334541333	-0.0115819826616756	0.0164067154541564	0.112881423009950	0.0187498802097406	0.0383441713184463	0.149192746522981
brown	B09	B	-0.812615546361023	0.344352920254502	-0.0270517592058230	-0.0131019564098536	0.0896548878549771	0.00733189297459221	0.0373610262940463	0.156476921426545
brown	B10	B	-0.809925174029661	0.360422777536816	-0.0339863800971753	0.00565807919727666	0.106646603027979	-0.0105833131043213	0.0339081986030562	0.163000404992956
brown	B11	B	-0.825023316753974	0.316327484357054	0.0123456756323165	0.0103214952587939	0.0488662755777986	0.00975687494480332	0.0299406598932842	0.131552411957130
brown	B12	B	-0.813143312385033	0.337634574924031	0.00457219259606819	0.0230445711949199	0.0688315595288371	-0.00573125357206486	0.040167479521275	0.141584005605438
brown	B13	B	-0.81050596093566	0.307213140461280	-0.0466604321571234	0.00256733056256736	0.0889968691739356	-0.0197222411624281	0.0284363304389874	0.141787821058715
brown	B14	B	-0.81701247788635	0.327783440127887	-0.00123959134853684	0.0132624530394975	0.0794237245379052	0.019933835260229	0.0256012782017371	0.143091502037568
brown	B15	B	-0.8120963860344	0.362669941752655	-0.0150614234819386	0.0228973448083484	0.0471953638122801	0.0116508033542560	0.0321846482295411	0.157881373170372
brown	B16	B	-0.813256530468276	0.333285947375265	-0.00708838533142671	0.024690045779278	0.0504489136887962	0.0119410221960086	0.021380499908842	0.150799792983748
brown	B17	B	-0.805952485357465	0.355294743192754	-0.0219736164783845	0.0139475939599683	0.0652969797227666	0.0178184305681997	0.0391634759183518	0.163424880518059
brown	B18	B	-0.813361552029431	0.35162358309335	-0.0112251026105951	0.0252885590463787	0.049773157401073	0.0216053009709877	0.0281113892567634	0.152862543337419
brown	B19	B	-0.813743630108708	0.338641600885062	-0.0262880816170045	0.00858534810458328	0.0739514146638796	0.0159223718971542	0.0324241131367113	0.147360898707214
brown	B20	B	-0.811400470786167	0.336821099923635	-0.0124672276021532	0.0064306450053022	0.07047758826649	0.0176260789630511	0.0339307987244782	0.150854344852711
brown	B21	B	-0.806818544352647	0.341246566055674	-0.04556469842833	0.0245695220254818	0.067991146278166	0.0133132447495571	0.0306071568422096	0.152467209882024
brown	B22	B	-0.813778936100159	0.339189219032532	-0.0313240094057828	0.0510222910180446	0.058918812084211	0.0128520864050226	0.0331369769044797	0.144942715456984
brown	B23	B	-0.812332026629642	0.35064085619755	-0.0244485757794610	0.0310964302108770	0.0723943017663227	0.0248557350282060	0.0416249903792557	0.151974355130594
brown	B24	B	-0.815612728073988	0.323269744670049	-0.0098917289804439	-0.00643803297934139	0.0922726304836889	-0.0211746468035502	0.0474415519900482	0.140318929479895
brown	B25	B	-0.809779429834046	0.343025922299638	-0.0206038737571205	0.0211540590146896	0.0727922124069953	0.0234827966808299	0.0405811066048206	0.156820538143207
brown	B26	B	-0.810107559518609	0.350380292440406	-0.0064320446506621	0.0259408840774819	0.0559712067703966	0.0161114870490018	0.0314572389439751	0.154717647879781
brown	B27	B	-0.813391807911841	0.348198128235899	-0.00818522409823805	0.0365419697371303	0.0737719998462981	-0.0089997169732017	0.0343213100895162	0.149553949582926
brown	C01	C	-0.810402928761767	0.296674740479778	-0.00448579838237315	0.00151771166834394	0.0799147358351496	-0.0200191618646846	0.0396558642454661	0.144373814643469
brown	C02	C	-0.818017543073285	0.331405900020063	-0.0210720025000652	0.0164259581530688	0.085853542757562	-0.0378726240327083	0.0368781208810797	0.140392535328034
brown	C03	C	-0.810289825347806	0.330086201090376	-0.0120857139367397	0.0147020362037251	0.0811049008052427	-0.0139156096746181	0.0423227376505403	0.148460259669099
brown	C04	C	-0.811413193781332	0.321251005091936	0.00440765385718344	0.00922771394470774	0.106882239695996	-0.0298904906288456	0.0369592852405007	0.147565522171942
brown	C05	C	-0.813035994620938	0.319061164585143	-0.0229622378341649	0.0272327792443167	0.0965018963780212	-0.0130832482961103	0.0479740594219542	0.14337263438374
brown	C06	C	-0.810559040757346	0.325616723735479	-0.0174678961600930	0.0309754070262692	0.0889126733567781	-0.00364508271649838	0.0433097493617434	0.148250909204723
brown	C07	C	-0.808984032940139	0.319957557723033	-0.0197598030795498	0.0166827528094646	0.0880419803384914	-0.041966703351238	0.0523790846930261	0.144311623580051
